canal,category,composition,date,final_Price,homogenized_category,homogenized_clothing,homogenized_color,homogenized_subcategory,image,item,item_characteristics,made_in,marca,modelo,price,sale_price,sales_flag,sku,stock,subcategory,subcategory2,subcategory3,upc,upc_wm,upc_wm2,url_sku
"Chevignon,Men,,18/10/2023,,,,,,https://chevignon.vtexassets.com/arquivos/ids/1368851/63_649E902_110000_0.jpg?v=638291775330800000,""Camiseta Gráfica de Hombre, Slim Fit Cuello Redondo - Diseño Chevignon Racing Estampado Photo Print Espalda"",,,,Rojo,129900,129900,,,,Camisetas,,,,,,"
"Chevignon,Men,,18/10/2023,,,,,,https://chevignon.vtexassets.com/arquivos/ids/1369567/63_649E008_140000_0.jpg?v=638306535392500000,""Camiseta Gráfica de Hombre, Slim Fit Cuello Redondo - Aplique + Estampación Textil"",,,,Beige,159900,159900,,,,Camisetas,,,,,,"
"Chevignon,Men,,18/10/2023,,,,,,https://chevignon.vtexassets.com/arquivos/ids/1370088/63_649E008_090000_0.jpg?v=638306541194270000,""Camiseta Gráfica de Hombre, Slim Fit Cuello Redondo - Aplique + Estampación Textil"",,,,Negro,159900,159900,,,,Camisetas,,,,,,"
"Chevignon,Men,,18/10/2023,,,,,,https://chevignon.vtexassets.com/arquivos/ids/1376641/63_649E027_052900_0.jpg?v=638331642598170000,""Camiseta Gráfica de Hombre, Slim Fit Cuello Redondo - Diseño Estampación Textil Tela Jaspeada"",,,,Gris,129900,129900,,,,Camisetas,,,,,,"
"Chevignon,Men,,18/10/2023,,,,,,https://chevignon.vtexassets.com/arquivos/ids/1376606/63_649E007_031600_0.jpg?v=638331642513400000,""Camiseta Gráfica de Hombre, Slim Fit Cuello Redondo - Estampación Textil"",,,,Blanco,129900,129900,,,,Camisetas,,,,,,"
"Chevignon,Men,,18/10/2023,,,,,,https://chevignon.vtexassets.com/arquivos/ids/1365966/63_642E012_052900_0.jpg?v=638277120421800000,""Camiseta Gráfica de Hombre, Classic Fit Cuello Redondo - Gráficos en Frente y Espalda"",,,,Gris,129900,129900,,,,Camisetas,,,,,,"
"Chevignon,Men,,18/10/2023,,,,,,https://chevignon.vtexassets.com/arquivos/ids/1370955/63_649E020_051100_0.jpg?v=638307429353830000,""Camiseta Básica de Hombre, Slim Fit Cuello Redondo - Algodón Pima"",,,,Gris,119900,119900,,,,Camisetas,,,,,,"
"Chevignon,Men,,18/10/2023,,,,,,https://chevignon.vtexassets.com/arquivos/ids/1368370/63_642E013_100000_0.jpg?v=638288322569600000,""Camiseta de Hombre, Classic Fit Cuello Redondo - Bloques en Contraste y Sesgos"",,,,Verde,159900,159900,,,,Camisetas,,,,,,"
"Chevignon,Men,,18/10/2023,,,,,,https://chevignon.vtexassets.com/arquivos/ids/1370939/63_649E020_110000_0.jpg?v=638307429284300000,""Camiseta Básica de Hombre, Slim Fit Cuello Redondo - Algodón Pima"",,,,Rojo,119900,119900,,,,Camisetas,,,,,,"
"Chevignon,Men,,18/10/2023,,,,,,https://chevignon.vtexassets.com/arquivos/ids/1371058/63_649E020_010000_0.jpg?v=638307432356000000,""Camiseta Básica de Hombre, Slim Fit Cuello Redondo - Algodón Pima"",,,,Amarillo,119900,119900,,,,Camisetas,,,,,,"
"Chevignon,Men,,18/10/2023,,,,,,https://chevignon.vtexassets.com/arquivos/ids/1366427/63_642E010_111200_0.jpg?v=638277129333700000,""Camiseta Gráfica de Hombre, Slim Fit Cuello Redondo - Efecto Neps + Estampación Textil"",,,,Rojo,129900,129900,,,,Camisetas,,,,,,"
"Chevignon,Men,,18/10/2023,,,,,,https://chevignon.vtexassets.com/arquivos/ids/1370942/63_649E020_101200_0.jpg?v=638307429296170000,""Camiseta Básica de Hombre, Slim Fit Cuello Redondo - Algodón Pima"",,,,Verde,119900,119900,,,,Camisetas,,,,,,"
"Chevignon,Men,,18/10/2023,,,,,,https://chevignon.vtexassets.com/arquivos/ids/1367056/63_642E025_090000_0.jpg?v=638288295322770000,""Camiseta de Hombre, Classic Fit Cuello Redondo - Bloques en Contraste y Sesgos"",,,,Negro,159900,159900,,,,Camisetas,,,,,,"
"Chevignon,Men,,18/10/2023,,,,,,https://chevignon.vtexassets.com/arquivos/ids/1367492/63_642E011_140000_0.jpg?v=638288304322500000,""Camiseta Gráfica de Hombre, Slim Fit Cuello Redondo - Efecto Neps + Estampación Textil"",,,,Beige,129900,129900,,,,Camisetas,,,,,,"
"Chevignon,Men,,18/10/2023,,,,,,https://chevignon.vtexassets.com/arquivos/ids/1370743/63_649E004_110000_0.jpg?v=638306556374570000,""Camiseta Gráfica de Hombre, Slim Fit Cuello Redondo - Estampación Textil"",,,,Rojo,129900,129900,,,,Camisetas,,,,,,"
"Chevignon,Men,,18/10/2023,,,,,,https://chevignon.vtexassets.com/arquivos/ids/1202999/63_640C020_052900_0.jpg?v=638150940652230000,""Camiseta Básica de Hombre, Slim Fit Cuello Redondo - Algodón Pima"",,,,Gris,109900,109900,,,,Camisetas,,,,,,"
"Chevignon,Men,,18/10/2023,,,,,,https://chevignon.vtexassets.com/arquivos/ids/1370308/63_649E003_101200_0.jpg?v=638306550851700000,""Camiseta Gráfica de Hombre, Slim Fit Cuello Redondo - Estampación Textil"",,,,Verde,129900,129900,,,,Camisetas,,,,,,"
"Chevignon,Men,,18/10/2023,,,,,,https://chevignon.vtexassets.com/arquivos/ids/1365452/63_642E001_101300_0.jpg?v=638277111137330000,""Camiseta Básica de Hombre, Slim Fit Cuello Redondo - 100% Algodón"",,,,Verde,98900,98900,,,,Camisetas,,,,,,"
"Chevignon,Men,,18/10/2023,,,,,,https://chevignon.vtexassets.com/arquivos/ids/1366154/63_642E001_111300_0.jpg?v=638277123353230000,""Camiseta Básica de Hombre, Slim Fit Cuello Redondo - 100% Algodón"",,,,Rojo,98900,98900,,,,Camisetas,,,,,,"
"Chevignon,Men,,18/10/2023,,,,,,https://chevignon.vtexassets.com/arquivos/ids/1365678/63_642E001_120000_0.jpg?v=638277114399030000,""Camiseta Básica de Hombre, Slim Fit Cuello Redondo - 100% Algodón"",,,,Rosa,98900,98900,,,,Camisetas,,,,,,"
"Chevignon,Kids,,18/10/2023,,,,,,https://chevignon.vtexassets.com/arquivos/ids/1290168/63_801E105_110000_0.jpg?v=638182923402900000,""Camiseta de Niño Tipo Polo, Regular Fit Manga Corta - Rayas Bicolor"",,,,Rojo,98900,49450,,,,Camisetas,,,,,,"
"Chevignon,Kids,,18/10/2023,,,,,,https://chevignon.vtexassets.com/arquivos/ids/1310470/63_841E102_101100_0.jpg?v=638209341317970000,""Camiseta de Niño, Cuello Redondo - Rayas Bicolor"",,,,Verde,69900,34950,,,,Camisetas,,,,,,"
"Chevignon,Kids,,18/10/2023,,,,,,https://chevignon.vtexassets.com/arquivos/ids/1289852/63_801E100_140000_0.jpg?v=638182920929100000,""Camiseta de Niño Tipo Polo, Regular Fit Manga Corta - Diseño Básico Fondo Entero"",,,,Beige,89900,67425,,,,Camisetas,,,,,,"
"Chevignon,Kids,,18/10/2023,,,,,,https://chevignon.vtexassets.com/arquivos/ids/1289871/63_801E105_021300_0.jpg?v=638182920974570000,""Camiseta de Niño Tipo Polo, Regular Fit Manga Corta - Rayas Bicolor"",,,,Azul,98900,49450,,,,Camisetas,,,,,,"
"Chevignon,Kids,,18/10/2023,,,,,,https://chevignon.vtexassets.com/arquivos/ids/1290116/63_801E100_101100_0.jpg?v=638182923335630000,""Camiseta de Niño Tipo Polo, Regular Fit Manga Corta - Diseño Básico Fondo Entero"",,,,Verde,89900,67425,,,,Camisetas,,,,,,"
"Chevignon,Kids,,18/10/2023,,,,,,https://chevignon.vtexassets.com/arquivos/ids/1289854/63_801E100_021300_0.jpg?v=638182920931200000,""Camiseta de Niño Tipo Polo, Regular Fit Manga Corta - Diseño Básico Fondo Entero"",,,,Azul,89900,67425,,,,Camisetas,,,,,,"
"Chevignon,Kids,,18/10/2023,,,,,,https://chevignon.vtexassets.com/arquivos/ids/1310474/63_841E102_101200_0.jpg?v=638209341327930000,""Camiseta de Niño, Cuello Redondo - Rayas Bicolor"",,,,Verde,69900,55920,,,,Camisetas,,,,,,"
"Chevignon,Kids,,18/10/2023,,,,,,https://chevignon.vtexassets.com/arquivos/ids/1288233/63_841E100_101200_0.jpg?v=638182908075030000,""Camiseta de Niño, Cuello Redondo - Básico Fondo Entero"",,,,Verde,69900,55920,,,,Camisetas,,,,,,"
"Chevignon,Kids,,18/10/2023,,,,,,https://chevignon.vtexassets.com/arquivos/ids/1288680/63_841E100_021300_0.jpg?v=638182911129100000,""Camiseta de Niño, Cuello Redondo - Básico Fondo Entero"",,,,Azul,69900,55920,,,,Camisetas,,,,,,"
"Chevignon,Kids,,18/10/2023,,,,,,https://chevignon.vtexassets.com/arquivos/ids/1289645/63_801E105_101200_0.jpg?v=638182920601030000,""Camiseta de Niño Tipo Polo, Regular Fit Manga Corta - Rayas Bicolor"",,,,Verde,98900,74175,,,,Camisetas,,,,,,"
"Chevignon,Kids,,18/10/2023,,,,,,https://chevignon.vtexassets.com/arquivos/ids/1288860/63_844D400_021200_0.jpg?v=638182914554700000,""Camiseta de Niño, Cuello Redondo - Básico Fondo Entero"",,,,Azul,59900,59900,,,,Camisetas,,,,,,"
"Chevignon,Kids,,18/10/2023,,,,,,https://chevignon.vtexassets.com/arquivos/ids/1288859/63_844D400_010000_0.jpg?v=638182914552830000,""Camiseta de Niño, Cuello Redondo - Básico Fondo Entero"",,,,Amarillo,59900,59900,,,,Camisetas,,,,,,"
"Chevignon,Kids,,18/10/2023,,,,,,https://chevignon.vtexassets.com/arquivos/ids/1288851/63_844D406_110000_0.jpg?v=638182914543930000,""Camiseta de Niño, Cuello Redondo - Bordado Tipográfico"",,,,Rojo,69900,69900,,,,Camisetas,,,,,,"
"Chevignon,Kids,,18/10/2023,,,,,,https://chevignon.vtexassets.com/arquivos/ids/1288863/63_844D406_030000_0.jpg?v=638182914557200000,""Camiseta de Niño, Cuello Redondo - Bordado Tipográfico"",,,,Blanco,69900,69900,,,,Camisetas,,,,,,"
"Chevignon,Kids,,18/10/2023,,,,,,https://chevignon.vtexassets.com/arquivos/ids/1286800/63_844D204_030000_0.jpg?v=638181165468070000,""Camiseta Gráfica de Niño, Regular Fit Cuello Redondo - Pato"",,,,Blanco,65900,65900,,,,Camisetas,,,,,,"
"Chevignon,Kids,,18/10/2023,,,,,,https://chevignon.vtexassets.com/arquivos/ids/1373735/63_809E000_030000_0.jpg?v=638316432425700000,""Camiseta de Niño Tipo Polo, Straight Fit Manga Corta - Diseño Básico Fondo Entero"",,,,Blanco,98900,98900,,,,Camisetas,,,,,,"
"Chevignon,Kids,,18/10/2023,,,,,,https://chevignon.vtexassets.com/arquivos/ids/1288557/63_844D408_052900_0.jpg?v=638182908863500000,""Camiseta de Niño, Cuello Redondo - Tela Jaspe + Gráfico Estampación Textil"",,,,Gris,69900,69900,,,,Camisetas,,,,,,"
"Chevignon,Kids,,18/10/2023,,,,,,https://chevignon.vtexassets.com/arquivos/ids/1373705/63_809E004_110000_0.jpg?v=638316432324270000,""Camiseta de Niño Tipo Polo, Straight Fit Manga Corta - Bloques de Color en Contraste"",,,,Rojo,109900,109900,,,,Camisetas,,,,,,"
"Chevignon,Kids,,18/10/2023,,,,,,https://chevignon.vtexassets.com/arquivos/ids/1286424/63_804D101_101400_0.jpg?v=638181164197330000,""Camiseta de Niño Tipo Polo, Regular Fit Manga Corta - Bloques de Color"",,,,Verde,89900,89900,,,,Camisetas,,,,,,"
"Chevignon,Kids,,18/10/2023,,,,,,https://chevignon.vtexassets.com/arquivos/ids/1288236/63_804D403_021300_0.jpg?v=638182908084800000,""Camiseta de Niño Tipo Polo, Regular Fit Manga Larga - Cuello Tela Complemento y Aplique Bordado"",,,,Azul,98900,98900,,,,Camisetas,,,,,,"
"Chevignon,Women,,18/10/2023,,,,,,https://chevignon.vtexassets.com/arquivos/ids/1366327/63_702E012_090000_0.jpg?v=638277126491200000,""Camiseta de Mujer, Manga Larga Cuello Alto - Silueta Ajustada"",,,,Negro,149900,149900,,,,Camisetas,,,,,,"
"Chevignon,Women,,18/10/2023,,,,,,https://chevignon.vtexassets.com/arquivos/ids/1369910/63_709E050_121300_0.jpg?v=638306538657430000,""Camiseta Básica de Mujer, Manga Corta Cuello en V - 100% Algodón Pima"",,,,Rosa,109900,109900,,,,Camisetas,,,,,,"
"Chevignon,Women,,18/10/2023,,,,,,https://chevignon.vtexassets.com/arquivos/ids/1368186/63_702E020_140000_0.jpg?v=638288316361830000,""Camiseta de Mujer, Manga Sisa Cuello Tortuga - Tipo Tank"",,,,Beige,139900,139900,,,,Camisetas,,,,,,"
"Chevignon,Women,,18/10/2023,,,,,,https://chevignon.vtexassets.com/arquivos/ids/1369590/63_709E051_061200_0.jpg?v=638306535493670000,""Camiseta Básica de Mujer, Manga Corta Cuello Redondo - 100% Algodón Pima"",,,,Caqui,109900,109900,,,,Camisetas,,,,,,"
"Chevignon,Women,,18/10/2023,,,,,,https://chevignon.vtexassets.com/arquivos/ids/1372194/63_709E028_012500_0.jpg?v=638316381420470000,""Camiseta Gráfica de Mujer, Manga Corta Cuello Redondo - Gráfico Frontal Estampado Alta Densidad"",,,,Amarillo,109900,109900,,,,Camisetas,,,,,,"
"Chevignon,Women,,18/10/2023,,,,,,https://chevignon.vtexassets.com/arquivos/ids/1370095/63_709E051_111300_0.jpg?v=638306541222870000,""Camiseta Básica de Mujer, Manga Corta Cuello Redondo - 100% Algodón Pima"",,,,Rojo,109900,109900,,,,Camisetas,,,,,,"
"Chevignon,Women,,18/10/2023,,,,,,https://chevignon.vtexassets.com/arquivos/ids/1366364/63_702E011_111200_0.jpg?v=638277126645200000,""Camiseta Gráfica de Mujer, Manga Corta Cuello Redondo - Gráfico Frontal Animal Print"",,,,Rojo,109900,109900,,,,Camisetas,,,,,,"
"Chevignon,Women,,18/10/2023,,,,,,https://chevignon.vtexassets.com/arquivos/ids/1370167/63_709E052_101200_0.jpg?v=638306544463870000,""Camiseta Básica de Mujer, Manga Sisa Cuello Redondo - Tipo Tank"",,,,Verde,79900,79900,,,,Camisetas,,,,,,"
"Chevignon,Women,,18/10/2023,,,,,,https://chevignon.vtexassets.com/arquivos/ids/1369152/63_709E001_111300_0.jpg?v=638306529342770000,""Camiseta Gráfica de Mujer, Manga Corta Cuello Redondo - Gráfico Frontal Estampado"",,,,Rojo,129900,129900,,,,Camisetas,,,,,,"
"Chevignon,Women,,18/10/2023,,,,,,https://chevignon.vtexassets.com/arquivos/ids/1370297/63_709E054_141300_0.jpg?v=638306550815500000,""Camiseta de Mujer, Manga Corta Cuello Redondo - Rayas"",,,,Beige,109900,109900,,,,Camisetas,,,,,,"
"Chevignon,Women,,18/10/2023,,,,,,https://chevignon.vtexassets.com/arquivos/ids/1370748/63_709E053_052900_0.jpg?v=638306556388330000,""Camiseta Básica de Mujer, Manga Sisa Cuello Redondo - Tipo Tank Tela Jaspe"",,,,Gris,79900,79900,,,,Camisetas,,,,,,"
"Chevignon,Women,,18/10/2023,,,,,,https://chevignon.vtexassets.com/arquivos/ids/1369386/63_709E002_052905_0.jpg?v=638306529926670000,""Camiseta Gráfica de Mujer, Manga Corta Cuello Redondo - Diseño Estampado Textil y Flock"",,,,Gris,109900,109900,,,,Camisetas,,,,,,"
"Chevignon,Women,,18/10/2023,,,,,,https://chevignon.vtexassets.com/arquivos/ids/1369980/63_709E050_101300_0.jpg?v=638306538822700000,""Camiseta Básica de Mujer, Manga Corta Cuello en V - 100% Algodón Pima"",,,,Verde,109900,109900,,,,Camisetas,,,,,,"
"Chevignon,Women,,18/10/2023,,,,,,https://chevignon.vtexassets.com/arquivos/ids/1367572/63_702E013_140000_0.jpg?v=638288310099170000,""Camiseta Gráfica de Mujer, Manga Corta Cuello Redondo - Gráfico Frontal Estampado"",,,,Beige,109900,109900,,,,Camisetas,,,,,,"
"Chevignon,Women,,18/10/2023,,,,,,https://chevignon.vtexassets.com/arquivos/ids/1372738/63_709E022_111300_0.jpg?v=638316414637400000,""Camiseta de Mujer, Manga Larga Cuello Redondo - Hombros Enmarcados + Piedras Decorativas"",,,,Rojo,149900,149900,,,,Camisetas,,,,,,"
"Chevignon,Women,,18/10/2023,,,,,,https://chevignon.vtexassets.com/arquivos/ids/1367835/63_702E013_121210_0.jpg?v=638288313340600000,""Camiseta Gráfica de Mujer, Manga Corta Cuello Redondo - Gráfico Frontal Estampado"",,,,Rosa,109900,109900,,,,Camisetas,,,,,,"
"Chevignon,Women,,18/10/2023,,,,,,https://chevignon.vtexassets.com/arquivos/ids/1370272/63_709E054_021300_0.jpg?v=638306550706600000,""Camiseta de Mujer, Manga Corta Cuello Redondo - Rayas"",,,,Azul,109900,109900,,,,Camisetas,,,,,,"
"Chevignon,Women,,18/10/2023,,,,,,https://chevignon.vtexassets.com/arquivos/ids/1368242/63_702E020_121100_0.jpg?v=638288316813530000,""Camiseta de Mujer, Manga Sisa Cuello Tortuga - Tipo Tank"",,,,Rosa,139900,139900,,,,Camisetas,,,,,,"
"Chevignon,Women,,18/10/2023,,,,,,https://chevignon.vtexassets.com/arquivos/ids/1372784/63_709E022_140000_0.jpg?v=638316414730800000,""Camiseta de Mujer, Manga Larga Cuello Redondo - Hombros Enmarcados + Piedras Decorativas"",,,,Beige,149900,149900,,,,Camisetas,,,,,,"
"Chevignon,Women,,18/10/2023,,,,,,https://chevignon.vtexassets.com/arquivos/ids/1372368/63_709E004_140000_0.jpg?v=638316390498630000,""Camiseta de Mujer, Manga Corta Cuello Redondo - Detalles Encaje"",,,,Beige,149900,149900,,,,Camisetas,,,,,,"
